field_id,domain,entity,field_name,cn_name,data_type,unit,example,description,related_reports
SF-0001,元数据,ReportMeta,report_id,报表ID,string,-,CH-RPT-2026-07-EAST,单次报表实例唯一标识,全部报表
SF-0002,元数据,ReportMeta,report_type,报表类型,enum,-,channel_analysis,报表类型编码,全部报表
SF-0003,元数据,ReportMeta,period,统计周期,string,-,2026-07,月/周/日/自定义区间,全部报表
SF-0004,元数据,ReportMeta,period_type,周期类型,enum,-,month,day|week|month|quarter|custom,全部报表
SF-0005,元数据,ReportMeta,period_start,周期开始,date,-,2026-07-01,统计起始日,全部报表
SF-0006,元数据,ReportMeta,period_end,周期结束,date,-,2026-07-31,统计结束日,全部报表
SF-0007,元数据,ReportMeta,generated_at,生成时间,datetime,-,2026-08-01T10:00:00+08:00,报表生成时间戳,全部报表
SF-0008,元数据,ReportMeta,data_as_of,数据截止时点,datetime,-,2026-07-31T23:59:59+08:00,取数截止时点,全部报表
SF-0009,元数据,ReportMeta,run_id,运行ID,string,-,run_abc123,Agent/流水线运行ID,全部报表
SF-0010,元数据,ReportMeta,producer_skill,产出Skill,string,-,channel_analysis,写入共享层的生产者,AI产出
SF-0011,元数据,ReportMeta,traffic_light,红黄绿灯,enum,-,yellow,red|yellow|green,渠道/预警类
SF-0012,元数据,ReportMeta,narrative_summary,NLG摘要,text,-,东区提货达成83%，颜色缺货为第一异常因,自然语言摘要,周月报/驾驶舱
SF-0013,元数据,ReportMeta,action_suggestions,行动建议列表,json,-,"[""补色排产"",""冲金牌档""]",结构化建议数组,渠道/VoC/运营
SF-0014,组织,Org,org_id,组织ID,string,-,WZ-EAST,组织节点唯一ID,渠道/战区报表
SF-0015,组织,Org,org_name,组织名称,string,-,东区战区,组织显示名,渠道/战区报表
SF-0016,组织,Org,org_level,组织层级,enum,-,warzone,nation|warzone|subzone|block|dealer|outlet|store,全部经营报表
SF-0017,组织,Org,parent_org_id,上级组织ID,string,-,NATION-CN,组织树父节点,全部经营报表
SF-0018,组织,Org,org_path,组织路径,string,-,全国/东区/苏南/一代A,完整层级路径,全部经营报表
SF-0019,组织,Region,province,省份,string,-,江苏,行政区-省,续费/VoC/渠道
SF-0020,组织,Region,city,城市,string,-,南京,行政区-市,续费/VoC/渠道
SF-0021,组织,Region,county_code,区县编码,string,-,320115,国标区县码,作战地图/开店
SF-0022,组织,Region,county_name,区县名称,string,-,江宁区,区县名,作战地图/开店
SF-0023,渠道主数据,Dealer,dealer_id,一代/经销商ID,string,-,DLR-3201,经销商唯一ID,A/C/E包
SF-0024,渠道主数据,Dealer,dealer_name,经销商名称,string,-,青枢南京江宁一网,经销商名,A/C/E包
SF-0025,渠道主数据,Dealer,legal_person,法人,string,-,王某某,工商法人,风控/加盟
SF-0026,渠道主数据,Dealer,open_account_date,开户时间,date,-,2024-03-12,经销商开户日,E包
SF-0027,渠道主数据,Dealer,developer_name,开发人员,string,-,李开发,渠道开发负责人,E包
SF-0028,渠道主数据,Store,store_id,门店ID,string,-,ST-8891,门店唯一ID,零售/巡检/D包
SF-0029,渠道主数据,Store,store_name,门店名称,string,-,青枢南京江宁专卖店,门店名,零售/巡检
SF-0030,渠道主数据,Store,store_address,门店地址,string,-,江宁区东山街道XX路88号,详细地址,开店/巡检
SF-0031,渠道主数据,Store,store_type,门店类型,enum,-,exclusive,exclusive|mixed|non_exclusive,合规/零售
SF-0032,渠道主数据,Store,store_grade,门店等级,enum,-,A,A|B|C|D,装修定级/E包
SF-0033,渠道主数据,Store,store_area_sqm,门店面积,number,㎡,120,营业面积,装修定级
